Taxon,Male_ID,Dive_number_,dive_length,dive_start_relative_to_t=0,dive_end_relative_to_t=0,Max_velocity,max_Vel_Time_relative_to_t=0,Mean_Max_X_vel,maxVel_x_time_relative_to_t=0,Mean_Max_Y_vel,maxVel_y_time_relative_to_t=0,relative_time_closest_to_female,Closest_Dist_to_female_(m),MaxDoppler,MaxDopplerTime(z=0),MinDoppler,MinDopplerTime(z=0),Dopp=1,Dopp=1Time,W1Start_Relative_to_z=0,W1End_Relative_to_z=0,W1LowFreq,W1HighFreq,Gap_between_W1_and_W2_,W2Start_Relative_to_z=0,W2End_Relative_to_z=0,W2LowFreq,W2HighFreq,YStart_Relative_to_z=0,YEnd_Relative_to_z=0,YNumber_of_elements,YLowFreq,YHighFreq,XStart_Relative_to_z=0,XEnd_Relative_to_z=0,XNumber_of_elements,XLowFreq,XHighFreq
bchu,CE29K01,4,2.4833,-1.391666667,1.091633333,13.50275403,-0.066666667,10.32194913,-0.133333333,9.014780506,-0.041666667,-0.183333333,0.7317,1.02719,-0.36667,0.96531,0.025,1.00183,-0.225,-0.936066667,-0.724866667,3916.914,5483.68,0.2065,-0.506866667,-0.170566667,4344.214,5768.546,-0.109966667,0.299033333,6,1495.549,2314.54,-0.150366667,0.260033333,6,3845.697,6053.412
bchu,CE29K01,5,2.341667,-1.358334,0.983333,12.08700109,-0.033333333,8.030113588,0.166666667,10.8724095,-0.15,-0.491666667,0.4693,1.034596084,-0.433333333,0.970758793,0.058333333,1.000981264,-0.158333333,-0.88,-0.654,4201.78,5697.329,0.2072,-0.4374,-0.1374,4272.997,5839.763,-0.1455,0.3362,7,1709.199,2278.932,-0.1213,0.3012,6,4201.78,5697.329
bchu,CE29K01,6,2.2666666,-1.308333333,0.958333267,12.85118058,0.066666667,5.954554502,-0.216666667,12.2176038,0.066666667,0.166666667,0.7059,1.028878909,-0.391666667,0.966827429,-0.05,0.998395477,-0.208333333,-0.968933333,-0.748333333,4059.347,5768.546,0.2637,-0.483433333,-0.113433333,4272.997,5910.979,-0.114133333,0.424066667,8,1744.807,2385.757,-0.095233333,0.394466667,7,3988.131,5839.763
bchu,CE29K01,7,2.65,-1.466666667,1.183333333,13.33118508,0.033333333,7.778680249,-0.333333333,12.70693043,0.041666667,-0.216666667,0.7485,1.029494444,-0.616666667,0.96796846,-0.2,0.997290136,-0.516666667,-0.966866667,-0.762366667,4272.997,5697.329,0.3431,-0.401866667,-0.120666667,4344.214,5982.196,-0.127366667,0.435033333,9,1709.199,2421.365,-0.104466667,0.383833333,7,3988.131,5982.196
bchu,CE29K02,1,2.175,-0.766666667,1.408333333,18.1136046,-0.6,14.92219922,-0.583333333,7.826842603,-0.758333333,-0.108333333,1.2461,1.03314255,-0.125,0.970412323,0.325,1.000126975,0.133333333,-0.733666667,-0.395166667,4752.864,6127.66,0.2389,-0.152266667,0.156333333,4988.543,6009.82,0.210133333,0.783633333,8,1928.571,2400,0.170333333,0.727833333,8,4757.143,6128.571
bchu,DMPPT4_notcaught,1,2.575,-1.483333333,1.091666667,13.62678421,-0.391666667,12.93658858,-0.05,4.667269141,-0.05,-0.025,6.0249,1.027755669,-0.391666667,0.966311179,0.025,0.999753844,-0.233333333,-1.339633333,-1.073133333,4281.506,5499.182,0.2091,-0.859533333,-0.620533333,4247.423,5443.299,-0.454033333,-0.070233333,6,1628.866,2082.474,-0.615933333,0.084766667,9,4412.371,5525.773
bchu,DMPPT4_notcaught,2,2.416667,-1.258333667,1.158333333,13.55188235,0.091666667,13.51012729,0.091666667,1.738806091,-0.275,-0.141666667,3.3906,1.054869571,-0.633333333,0.972677744,0.183333333,1.001389797,-0.141666667,-1.158866667,-0.922266667,4453.608,5608.247,0.3033,-0.609766667,-0.347866667,4288.66,5855.67,-0.214566667,0.378233333,8,1525.773,2144.33,-0.343266667,0.228933333,8,4247.423,5690.722
bchu,DMPPT4_notcaught,3,2.134,-1.242333333,0.891666667,10.93058815,-0.266666667,7.997124922,-0.358333333,6.458285483,-0.216666667,-0.266666667,5.503,1.030569551,-0.825,0.987963635,0.183333333,1.000613239,-0.058333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bchu,no_ID_male1,1,2.8084,-1.25,1.5584,12.69116713,-0.283333333,10.70508626,-0.283333333,2.006907617,-0.9,-0.283333333,1.5928,1.020274781,-0.458333333,0.970308086,0.158333333,1.00043393,-0.175,-0.764266667,-0.524166667,4513.158,5996.053,0.195,-0.322566667,-0.098966667,4384.211,5673.684,0.095633333,0.525433333,7,1676.316,2321.053,-0.059566667,0.400933333,7,4577.632,5802.632
bchu,no_ID_male1,2,2.584,-1.15,1.434,12.51988011,-0.5,11.20986526,-0.316666667,3.044450463,0.858333333,-0.2,0.3177,1.02051107,-0.983333333,0.990638724,-0.075,0.999971687,-0.291666667,-0.9575,-0.7604,4513.158,5738.158,0.2634,-0.4845,-0.1422,4642.105,6060.526,-0.1817,0.4635,9,1708.553,2288.816,-0.1319,0.2208,6,4577.632,5867.105
