ind,angle,names,u,s,m,l,u.r,s.r,m.r,l.r,x,y,z,h.theta,h.phi,r.vec,r.max,r.achieved,lum
BE10K06,40,BE10K06 40,0.155017688,0.398760671,0.281899793,0.164321848,-0.094982312,0.148760671,0.031899793,-0.085678152,-0.143563873,0.000253522,-0.094982312,3.139826738,-0.584488186,0.172140319,0.453085199,0.379929249,0.031887196
BE10K06,60,BE10K06 60,0.188470292,0.308753353,0.28174163,0.221034726,-0.061529708,0.058753353,0.03174163,-0.028965274,-0.05371647,0.011913045,-0.061529708,2.923348591,-0.841178967,0.082542624,0.335377113,0.246118834,0.009855119
BE10K06,80,BE10K06 80,0.206594579,0.258353163,0.267021571,0.268030686,-0.043405421,0.008353163,0.017021571,0.018030686,0.005926249,0.002707969,-0.043405421,0.428614246,-1.421797707,0.043891731,0.252800978,0.173621683,0.013911001
EE19K01,-80,EE19K01 -80,0.248143778,0.265887865,0.254247458,0.231720898,-0.001856222,0.015887865,0.004247458,-0.018279102,-0.020922909,0.003848836,-0.001856222,2.959673231,-0.087032785,0.021354793,0.292065688,0.073116406,0.032842312
EE19K01,-60,EE19K01 -60,0.266889411,0.236058283,0.244893297,0.252159009,0.016889411,-0.013941717,-0.005106703,0.002159009,0.009859641,0.000554832,0.016889411,0.056213732,1.041702749,0.019564575,0.350827917,0.055766869,0.208446844
EE19K01,-40,EE19K01 -40,0.265797989,0.231027359,0.246321312,0.25685334,0.015797989,-0.018972641,-0.003678688,0.00685334,0.015815119,0.001683595,0.015797989,0.106055366,0.782039099,0.022417157,0.295387933,0.075890565,0.181044352
EE19K01,-20,EE19K01 -20,0.231060003,0.18833052,0.241637946,0.33897153,-0.018939997,-0.06166948,-0.008362054,0.08897153,0.092248402,-0.015565597,-0.018939997,-0.167161098,-0.199753387,0.095450401,0.386943432,0.246677919,0.183130186
EE19K01,0,EE19K01 0,0.134999916,0.080041781,0.143090993,0.641867309,-0.115000084,-0.169958219,-0.106909007,0.391867309,0.344046467,-0.154052795,-0.115000084,-0.420995751,-0.296102464,0.394113251,0.579720789,0.679832875,0.57561688
EE19K01,20,EE19K01 20,0.261018512,0.230798275,0.244696646,0.263486567,0.011018512,-0.019201725,-0.005303354,0.013486567,0.020017409,-0.001729424,0.011018512,-0.086182008,0.501616698,0.022914956,0.298345011,0.076806901,0.094967793
EE19K01,40,EE19K01 40,0.251126909,0.231678277,0.251426896,0.265767918,0.001126909,-0.018321723,0.001426896,0.015767918,0.020875557,0.001911874,0.001126909,0.091329552,0.053705569,0.02099319,0.286452187,0.073286892,0.14588047
EE19K01,60,EE19K01 60,0.242408264,0.229364922,0.26553374,0.262693074,-0.007591736,-0.020635078,0.01553374,0.012693074,0.020409242,0.013791936,-0.007591736,0.594277858,-0.298963902,0.025775747,0.312280697,0.082540313,0.14718792
EE19K01,80,EE19K01 80,0.15829233,0.363915407,0.291706171,0.186086093,-0.09170767,0.113915407,0.041706171,-0.063913907,-0.10889777,0.011812516,-0.09170767,3.033541679,-0.697035528,0.14285852,0.389439942,0.366830682,0.011823572
DF09K01,-80,DF09K01 -80,0.28224497,0.235423053,0.238603379,0.243728598,0.03224497,-0.014576947,-0.011396621,-0.006271402,0.005086087,-0.000687624,0.03224497,-0.134382193,1.412952654,0.032650868,0.559974386,0.058307788,0.030410149
DF09K01,-60,DF09K01 -60,0.271865794,0.228163778,0.243160978,0.25680945,0.021865794,-0.021836222,-0.006839022,0.00680945,0.01754182,0.000476847,0.021865794,0.027176752,0.894505033,0.028036686,0.320988293,0.087344888,0.072008413
DF09K01,-40,DF09K01 -40,0.265985473,0.225330565,0.241600178,0.267083784,0.015985473,-0.024669435,-0.008399822,0.017083784,0.02556852,-0.003257638,0.015985473,-0.126725391,0.555131448,0.0303298,0.307362127,0.098677741,0.014935628
DF09K01,-20,DF09K01 -20,0.245948331,0.24268326,0.249098287,0.262270123,-0.004051669,-0.00731674,-0.000901713,0.012270123,0.011994455,-0.002388893,-0.004051669,-0.196593912,-0.319909007,0.012883702,0.44021318,0.029266961,0.277006832
